tiempo,valor
1692118620.5520146,0.0
1692118621.4829643,0.0
1692118622.4839287,0.0
1692118623.483062,0.0
1692118624.482861,0.0
1692118625.4836066,0.0
1692118626.481583,0.0
1692118627.4824822,0.0
1692118628.482352,0.0
1692118629.4824884,0.0
1692118630.536756,0.0
1692118631.4837403,0.0
1692118632.4839177,0.0
1692118633.4864447,0.0
1692118634.49133,0.0
1692118635.4821136,0.0
1692118636.4841347,0.0
1692118637.4839642,0.0
1692118638.483957,0.0
1692118639.4864998,0.0
1692118640.482978,0.0
1692118641.4826436,0.0
1692118642.48177,0.0
1692118643.4823475,0.0
1692118644.4828956,0.0
1692118645.4830818,0.0
1692118646.4846234,0.0
1692118647.4812965,0.0
1692118648.4853034,0.0
1692118649.4874253,0.0
1692118650.4839673,0.0
1692118651.481221,0.0
1692118652.481722,0.0
1692118653.4844847,0.0
1692118654.482659,0.0
1692118655.4820118,0.0
1692118656.4828708,0.0
1692118657.4841793,0.0
1692118658.482056,0.0
1692118659.482211,0.0
1692118660.4813056,0.0
1692118661.4806316,0.0
1692118662.4813724,0.0
1692118663.4821289,0.0
1692118664.481008,0.0
1692118665.4830823,0.0
1692118666.481666,0.0
1692118667.4833946,0.0
1692118668.4819665,0.0
1692118669.4826505,0.0
1692118670.4810827,0.0
1692118671.48122,0.0
1692118672.4837093,0.0
1692118673.4853554,0.0
1692118674.484591,0.0
1692118675.4836895,0.0
1692118676.4819455,0.0
1692118677.481966,0.0
1692118678.4813616,0.0
1692118679.4849184,0.0
1692118680.4858303,0.0
1692118681.4853184,0.0
1692118682.4843748,0.0
1692118683.486158,0.0
1692118684.4886227,0.0
1692118685.482607,0.0
1692118686.483765,0.0
1692118687.484539,0.0
1692118688.483063,0.0
1692118689.4831526,0.0
1692118690.481379,0.0
1692118691.4817996,0.0
1692118692.4818165,0.0
1692118693.482088,0.0
1692118694.4843252,0.0
1692118695.4831092,0.0
1692118696.4829073,0.0
1692118697.480453,0.0
1692118698.4819903,0.0
1692118699.4825087,0.0
1692118700.4828205,0.0
1692118701.4810526,0.0
1692118702.480348,0.0
1692118703.483578,0.0
1692118704.48166,0.0
1692118705.481951,0.0
1692118706.4836743,0.0
1692118707.4836102,0.0
1692118708.481425,0.0
1692118709.481766,0.0
1692118710.4832432,0.0
1692118711.4863615,0.0
1692118712.480453,0.0
1692118713.4858365,0.0
1692118714.483426,0.0
1692118715.4834154,0.0
1692118716.4813626,0.0
1692118717.4824507,0.0
1692118718.483209,0.0
1692118719.4844875,0.0
1692118720.4839656,0.0
1692118721.4808686,0.0
1692118722.481763,0.0
1692118723.480381,0.0
1692118724.482399,0.0
1692118725.4833043,0.0
1692118726.4809773,0.0
1692118727.4816701,0.0
1692118728.4802237,0.0
1692118729.4808128,0.0
1692118730.4818938,0.0
1692118731.481337,0.0
1692118732.4810915,0.0
1692118733.480932,0.0
1692118734.4845762,0.0
1692118735.481531,0.0
1692118736.4856064,0.0
1692118737.4814227,0.0
1692118738.485303,0.0
1692118739.4815667,0.0
1692118740.482095,0.0
1692118741.482471,0.0
