tiempo,valor
1692116947.6002808,0.0
1692116948.5133421,0.0
1692116949.5160236,0.0
1692116950.5204628,0.0
1692116951.504166,0.0
1692116952.523273,0.0
1692116953.5265186,0.0
1692116954.5188394,0.0
1692116955.5150042,0.0
1692116956.517093,0.0
1692116957.511223,0.0
1692116958.5179238,0.0
1692116959.5153692,0.0
1692116960.5208976,0.0
1692116961.5201719,0.0
1692116962.52022,0.0
1692116963.5156949,0.0
1692116964.5286343,0.0
1692116965.5325603,0.0
1692116966.5183864,0.0
1692116967.5156052,0.0
1692116968.5247319,0.0
1692116969.514517,0.0
1692116970.524262,0.0
1692116971.5250258,0.0
1692116972.5201728,0.0
1692116973.5264964,0.0
1692116974.5206792,0.0
1692116975.543525,0.0
1692116976.529112,0.0
1692116977.5164416,0.0
1692116978.5149117,0.0
1692116979.5310838,0.0
1692116980.5318596,0.0
1692116981.5307016,0.0
1692116982.5190825,0.0
1692116983.518211,0.0
1692116984.5297406,33.0
1692116985.5146642,0.0
1692116986.5193443,0.0
1692116987.5140593,0.0
1692116988.5234258,0.0
1692116989.5313194,0.0
1692116990.5200016,0.0
1692116991.5130212,0.0
1692116992.5215306,0.0
1692116993.5205476,6.0
1692116994.5185208,0.0
1692116995.525701,0.0
1692116996.5190961,0.0
1692116997.5274787,0.0
1692116998.5200398,0.0
1692116999.5183873,4.0
1692117000.5244272,4.0
1692117001.530911,0.0
1692117002.5157816,0.0
1692117003.5239496,0.0
1692117004.514543,0.0
1692117005.5260398,0.0
1692117006.522811,0.0
1692117007.5202308,0.0
1692117008.519266,0.0
1692117009.5140035,0.0
1692117010.5166428,0.0
1692117011.5205324,0.0
1692117012.5166395,3.0
1692117013.533968,6.0
1692117014.5202959,0.0
1692117015.5205503,0.0
1692117016.5182052,0.0
1692117017.51747,0.0
1692117018.515702,8.0
1692117019.5228975,14.0
1692117020.516077,14.0
1692117021.5213628,15.0
1692117022.526917,19.0
1692117023.5151618,18.0
1692117024.5215747,12.0
1692117025.5295813,19.0
1692117026.5244024,16.0
1692117027.527151,20.0
1692117028.514438,16.0
1692117029.5333354,13.0
1692117030.5157862,14.0
1692117031.5186396,0.0
1692117032.5196664,0.0
1692117033.5251808,0.0
1692117034.5177803,0.0
1692117035.5253506,0.0
1692117036.521897,0.0
1692117037.5211587,0.0
1692117038.5179853,0.0
1692117039.5213695,0.0
1692117040.5161693,0.0
1692117041.5361614,0.0
1692117042.537892,0.0
1692117043.5200489,0.0
1692117044.5176756,0.0
1692117045.529049,0.0
1692117046.5136008,0.0
1692117047.5203865,0.0
1692117048.5150707,0.0
1692117049.5162525,0.0
1692117050.5210514,0.0
1692117051.5158715,0.0
1692117052.5241523,0.0
1692117053.5348332,0.0
1692117054.517809,0.0
1692117055.5160973,0.0
1692117056.5179982,0.0
1692117057.52261,0.0
1692117058.516455,0.0
1692117059.530095,0.0
1692117060.5206277,0.0
1692117061.5155976,0.0
1692117062.5194485,0.0
1692117063.5249016,0.0
1692117064.5289674,0.0
1692117065.5289752,0.0
1692117066.5173092,0.0
